safegraph_place_id,geometry,index_right,quadkey,tile,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
sg:a69dd712f35f40b1ad97184558157961,POINT (-73.984931 40.769434),56063,0320101101320031,"POLYGON((-73.9874267578125 40.772221877329, -73.98193359375 40.772221877329, -73.98193359375 40.7680617093661, -73.9874267578125 40.7680617093661, -73.9874267578125 40.772221877329))",164018,82265,9,764,289
sg:af8752bc47e345c0b0f4abf684fdfd5c,POINT (-73.99081600000002 40.745218),35462,0320101101322010,"POLYGON((-73.992919921875 40.7472569628042, -73.9874267578125 40.7472569628042, -73.9874267578125 40.7430952321818, -73.992919921875 40.7430952321818, -73.992919921875 40.7472569628042))",152830,87310,9,630,281
sg:9a89e65a76b9474da564485fa9a2d48a,POINT (-73.988822 40.743848),35462,0320101101322010,"POLYGON((-73.992919921875 40.7472569628042, -73.9874267578125 40.7472569628042, -73.9874267578125 40.7430952321818, -73.992919921875 40.7430952321818, -73.992919921875 40.7472569628042))",152830,87310,9,630,281
sg:98ff24c92cd84bd192988b715f395bc3,POINT (-73.99327199999998 40.741878),54503,0320101101322003,"POLYGON((-73.9984130859375 40.7430952321818, -73.992919921875 40.7430952321818, -73.992919921875 40.738933241136, -73.9984130859375 40.738933241136, -73.9984130859375 40.7430952321818))",175617,82531,10,705,254
sg:0d5d33483b2e4838833b9f01937dc840,POINT (-74.00915400000002 40.713822),54393,0320101103011111,"POLYGON((-74.0093994140625 40.713955826286, -74.00390625 40.713955826286, -74.00390625 40.709792012435, -74.0093994140625 40.709792012435, -74.0093994140625 40.713955826286))",174274,126315,17,672,256
